27,Lay Phyu,လေးဖြူ,Kabar Gyi Ka Lone Pyi Wine Nay Taw,ကမ္ဘာကြီးကလုံးပြီးဝိုင်းနေတော့,https://www.youtube.com/watch?v=PyidcT4r2qM&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=194
28,Lay Phyu,လေးဖြူ,Myaw Lint Chinn Lay,မျှော်လင့်ခြင်းလေး,https://www.youtube.com/watch?v=5PGrhea2Xl0&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=195
29,Lay Phyu,လေးဖြူ,A Linn Yaung,အလင်းရောင်,https://www.youtube.com/watch?v=129amftky90&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=196
30,Lay Phyu,လေးဖြူ,Yin Sine Mae,ရင်ဆိုင်မယ်,https://www.youtube.com/watch?v=CQMLQKARtiI&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=197
31,Lay Phyu,လေးဖြူ,Dan Yar,ဒဏ်ရာ,https://www.youtube.com/watch?v=H7D5sh2gjZI&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=198
32,Lay Phyu,လေးဖြူ,Shay Ka Kaung Kin,ရှေ့ကကောင်းကင်,https://www.youtube.com/watch?v=lgFye6jcMHc&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=199
33,Lay Phyu,လေးဖြူ,A Taung Pan Myar Nae,အတောင်ပံများနှင့်,https://www.youtube.com/watch?v=UC9PN93yeVU&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=200
34,Lay Phyu,လေးဖြူ,Nya,ည,https://www.youtube.com/watch?v=pFJuoNDfkjs&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=201
35,Lay Phyu,လေးဖြူ,Nauk Htat Doh Ma Way Buu,နောက်ထပ်တို့မဝေးဘူး,https://www.youtube.com/watch?v=p1LnKtb24KU&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=202
36,Ma Riz Za,မာရဇ္ဇ,Eip Yay Pyat,အိပ်ရေးပျက်,https://www.youtube.com/watch?v=s-HOOqaC7I8&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=2
37,Ma Riz Za,မာရဇ္ဇ,A Lwan Ni Kone,အလွမ်းနိဂုံး,https://www.youtube.com/watch?v=16wkB98Qt64&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=76
38,Ma Riz Za,မာရဇ္ဇ,Myaw Lint Chinn La Minn,မျှော်လင့်ခြင်းလမင်း,https://www.youtube.com/watch?v=o5Mns0Styvw&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=77
39,Ma Riz Za,မာရဇ္ဇ,Yin Tho Toe Whae Sae Par Khaing,ရင်သို့တိုးဝှေ့ဆဲပါခိုင်,https://www.youtube.com/watch?v=4kKLT7GIJsQ&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=78
40,Ma Riz Za,မာရဇ္ဇ,Chit Lo,ချစ်လို့,https://www.youtube.com/watch?v=SKoZJFRW_Kk&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=79
41,Ma Riz Za,မာရဇ္ဇ,Yay Lo Ay Lo Pann Lo Cham Myay Par Say,ရေလိုအေးလို့ပန်းလိုချမ်းမြေ့ပါစေ,https://www.youtube.com/watch?v=3U_c3hRIyp4&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=80
42,Ma Riz Za,မာရဇ္ဇ,Hin Thar Doh Yae Nann Taw Shay,ဟင်္သာတို့ရဲ့နန်းတော်ရှေ့,https://www.youtube.com/watch?v=G6rIo0GQGME&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=81
43,Ma Riz Za,မာရဇ္ဇ,Ma Aye Ko Chit Lo,မအေးကိုချစ်လို့,https://www.youtube.com/watch?v=O5nYf2MJVcI&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=83
44,Ma Riz Za,မာရဇ္ဇ,Kinn Sa Nar,ကဉ္ဏနာ,https://www.youtube.com/watch?v=AlJ2r4WV4Qw&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=84
